_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
5963,30035742,44,Lisgar St,44 Lisgar St,,former TORONTO,Toronto,14024655,44,,,,3859,Davenport (909),,,,,3277255,179,14,No,No,Yes,,Approved,,ON HOLD - park construction,Bike Shelter,"{u'type': u'Point', u'coordinates': (-79.4234411857, 43.6420865352)}"
5964,7577064,505,College St,505 College St,M6G 1A5,former TORONTO,Toronto,7577053,505,,,,9765,University-Rosedale (1111),,,,,2933285,180,14,No,Yes,No,,Proposed,,Not installed 2017,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4099072953, 43.6557277596)}"
5965,14600292,1,Adelaide St E,1 Adelaide St E,M5C 2V9,former TORONTO,Toronto,14036810,1,,,,2851,Toronto Centre (1313),,,,,3281500,181,5,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3780482654, 43.6503108279)}"
5966,505931,10,Deauville Lane,10 Deauville Lane,M3C 3J2,NORTH YORK,Toronto,445087,10,,,,5344,Don Valley East (1616),,,,,1943625,182,16,No,No,,pavers,Approved,garden,Straight: call Avelino 416 688 921,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3316690924, 43.7175451152)}"
5967,9085483,108,Vine Ave,108 Vine Ave,M6P 1V7,former TORONTO,Toronto,9085469,108,,,,4606,Parkdale-High Park (404),,,,,3016040,183,8,No,No,,concrete,Approved,back of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4684519109, 43.6669274964)}"
5968,828220,145,King St W,145 King St W,M5H 1J8,former TORONTO,Toronto,1145855,145,,,,3780,Spadina-Fort York (1010),,,,,1622900,184,8,Yes,No,,concrete,Installed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.38392268, 43.6474556716)}"
5969,14204767,157,Adelaide St W,157 Adelaide St W,M5H 4E7,former TORONTO,Toronto,7929478,157,,,,2852,Spadina-Fort York (1010),,,,,2268248,185,8,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3850607472, 43.6488103116)}"
5970,828080,187,King St E,187 King St E,M5A 1J5,former TORONTO,Toronto,1145266,187,,,,3779,Toronto Centre (1313),,,,,2173269,186,5,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3704366169, 43.6506004624)}"
5971,7730263,2,Carlton St,2 Carlton St,M5B 1J3,former TORONTO,Toronto,14023521,2,,,,3116,Toronto Centre (1313),,,,,2630614,187,5,Yes,No,,concrete,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3828960214, 43.6615560195)}"
5972,30101226,25,Berwick Ave,25 Berwick Ave,,former TORONTO,Toronto,14024072,25,,,,3001,Toronto-St. Paul's (1212),,,,,4257862,188,8,No,No,,concrete,Installed,front of walk,adjacent previous rack,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3984481408, 43.7038022114)}"
5973,10180378,322,King St W,322 King St W,M5V 1J2,former TORONTO,Toronto,10180374,322,,,,3780,Spadina-Fort York (1010),,,,,2290025,189,5,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3896803387, 43.646967234)}"
